"","variable","model","experiment","value","sd"
"197","mmrso4","GISS-E2.1","shp_60p_red",-2.66837082172138e-11,1.07129194356422e-12
"198","mmrso4","NorESM2","shp_60p_red",-1.695100353376e-11,1.83250637111555e-12
"199","od550aer","CAM-ATRAS","shp_60p_red",-0.000362792161452366,0.000139458336747196
"200","od550aer","CESM1","shp_60p_red",-0.000893533027301424,0.000104171686080509
"201","od550aer","E3SM","shp_60p_red",-0.000874084173573469,0.000150893232291094
"202","od550aer","GFDL-ESM4","shp_60p_red",-0.000965468038853234,0.000260197465677683
"203","od550aer","GISS-E2.1","shp_60p_red",-0.00164314978670613,6.49017944219054e-05
"204","rlut","CAM-ATRAS","shp_60p_red",-0.0078945518017747,0.0103628678526765
"205","rlut","CESM1","shp_60p_red",-0.114418677658182,0.0566419852813784
"206","rlut","E3SM","shp_60p_red",-0.0319867703503064,0.0363260148368292
"207","rlut","GFDL-ESM4","shp_60p_red",-0.00171606325637299,0.066035274327665
"208","rlut","GISS-E2.1","shp_60p_red",-0.000333133450908463,0.0202912369009875
"209","rlut","NorESM2","shp_60p_red",0.00626538873541449,0.0494026226172684
"210","rlutcs","CAM-ATRAS","shp_60p_red",0.00259705414185873,0.00508217438519983
"211","rlutcs","CESM1","shp_60p_red",-0.0304623761325274,0.0177261432668257
"212","rlutcs","E3SM","shp_60p_red",0.000243988396357508,0.0165267650803816
"213","rlutcs","GFDL-ESM4","shp_60p_red",0.00880006085819787,0.016349425517083
"214","rlutcs","GISS-E2.1","shp_60p_red",-0.00123976490217501,0.00783033542168789
"215","rlutcs","NorESM2","shp_60p_red",0.00229884935941982,0.0140096601253107
"216","rsdt","CAM-ATRAS","shp_60p_red",9.52040750235028e-08,2.34483100056545e-07
"217","rsdt","CESM1","shp_60p_red",0,0
"218","rsdt","E3SM","shp_60p_red",0,0
"219","rsdt","GFDL-ESM4","shp_60p_red",0,0
"220","rsdt","NorESM2","shp_60p_red",-8.96484039003553e-08,3.27448814493858e-07
"221","rsut","CAM-ATRAS","shp_60p_red",0.224612920355537,0.0434401661148739
"222","rsut","CESM1","shp_60p_red",0.325368842011591,0.0616879405893821
"223","rsut","E3SM","shp_60p_red",0.13188097124258,0.0768855209199813
"224","rsut","GFDL-ESM4","shp_60p_red",0.0673818290321748,0.0804296986907744
"225","rsut","GISS-E2.1","shp_60p_red",0.0872879178807779,0.0710261558190359
"226","rsut","NorESM2","shp_60p_red",0.0920885412105491,0.0283883716013542
"227","rsutcs","CAM-ATRAS","shp_60p_red",0.0127416946764797,0.0049091050089543
"228","rsutcs","CESM1","shp_60p_red",0.0284381550175866,0.00259568445483449
"229","rsutcs","E3SM","shp_60p_red",0.0284855750443342,0.00409520766184615
"230","rsutcs","GFDL-ESM4","shp_60p_red",0.0254316417711536,0.00857931008821355
"231","rsutcs","GISS-E2.1","shp_60p_red",0.0530414507621401,0.00268559394667652
"232","rsutcs","NorESM2","shp_60p_red",0.0148258525654114,0.0038934351211604
"233","so2","CAM-ATRAS","shp_60p_red",-2.54971469656833e-11,1.50533766818758e-12
"234","so2","CESM1","shp_60p_red",-2.92593759779465e-11,1.46479697754179e-12
"235","so2","GFDL-ESM4","shp_60p_red",-2.39840457361952e-11,1.29356211852808e-12
"236","so2","GISS-E2.1","shp_60p_red",-1.61706357772006e-11,5.92758019319333e-13
"237","so2","NorESM2","shp_60p_red",-1.66316612469027e-11,1.47860021281723e-12
"238","srfdms","E3SM","shp_60p_red",2.47269428531446e-13,5.75341135653056e-14
"239","wetbc","CAM-ATRAS","shp_60p_red",-1.25874204160659e-16,4.16692665293939e-16
"240","wetbc","CESM1","shp_60p_red",-1.9574785109022e-16,4.99755577740044e-16
"241","wetbc","E3SM","shp_60p_red",5.90053687847062e-17,1.1798825780865e-16
"242","wetbc","GFDL-ESM4","shp_60p_red",-9.60440450637233e-17,1.00735080833593e-15
"243","wetbc","GISS-E2.1","shp_60p_red",1.77457894254769e-16,3.73346990044237e-16
"244","wetbc","NorESM2","shp_60p_red",-1.83468844887046e-16,3.48793407633057e-16
"245","wetso2","CAM-ATRAS","shp_60p_red",-6.49303596355315e-14,3.84832295571518e-15
"246","wetso2","GFDL-ESM4","shp_60p_red",-8.83618607745999e-14,5.09531687868092e-15
"247","wetso2","NorESM2","shp_60p_red",-7.95839720146455e-14,7.80263363936277e-15
"248","wetso4","CAM-ATRAS","shp_60p_red",-3.76608481118782e-13,1.19994791688943e-14
"249","wetso4","CESM1","shp_60p_red",-3.11130232994807e-13,1.20981865606291e-14
"250","wetso4","E3SM","shp_60p_red",-2.2406867409308e-13,9.15601352509666e-15
"251","wetso4","GISS-E2.1","shp_60p_red",-2.95871724845041e-13,6.9266885117315e-15
"252","wetso4","NorESM2","shp_60p_red",-1.4255429054207e-13,1.60033563739003e-14
"253","cl","CAM-ATRAS","shp_60p_red_1950",0.00096160636396565,0.0124162410310787
"254","cl","CESM1","shp_60p_red_1950",0.000273972828897229,0.0119639965308545
"255","cl","GISS-E2.1","shp_60p_red_1950",0.000259811604529858,0.017628747261074
"256","clivi","CAM-ATRAS","shp_60p_red_1950",-3.84330286436092e-06,7.32801296106029e-06
"257","clivi","E3SM","shp_60p_red_1950",-1.87017735810573e-05,1.10035510235456e-05
"258","clivi","GFDL-ESM4","shp_60p_red_1950",-6.64281013737056e-05,0.000168354821315474
"259","clivi","GISS-E2.1","shp_60p_red_1950",6.49941134844567e-05,0.00053276004385171
"260","clivi","NorESM2","shp_60p_red_1950",-9.22728054239541e-07,4.9241722165009e-05
"261","clt","CAM-ATRAS","shp_60p_red_1950",0.00698288685209718,0.0460502042769067
"262","clt","CESM1","shp_60p_red_1950",0.101994161397944,0.0339642499426238
"263","clt","E3SM","shp_60p_red_1950",-0.0265978638883922,0.0224029444918959
"264","clt","GISS-E2.1","shp_60p_red_1950",0.0033103714849176,0.0356409846993096
"265","clt","NorESM2","shp_60p_red_1950",0.056076819873843,0.0511713504328992
"266","cltc","E3SM","shp_60p_red_1950",0,0
"267","cltc","GFDL-ESM4","shp_60p_red_1950",0.000362504639232153,0.00164920793219974
"268","cltc","GISS-E2.1","shp_60p_red_1950",-0.00915442603223369,0.0102110511565632
"269","dms","CAM-ATRAS","shp_60p_red_1950",-1.30855289023207e-13,2.65441370634131e-13
"270","dms","GISS-E2.1","shp_60p_red_1950",-8.65077554656379e-15,6.80779015812611e-14
"271","dms","NorESM2","shp_60p_red_1950",-1.14233252860558e-14,4.80948919735609e-14
"272","drybc","CAM-ATRAS","shp_60p_red_1950",-1.9442686448865e-17,5.1230226294115e-17
"273","drybc","E3SM","shp_60p_red_1950",4.96775703059399e-17,5.1224290349821e-17
"274","drybc","GFDL-ESM4","shp_60p_red_1950",-8.68151682210986e-17,2.3743658344241e-16
"275","drybc","GISS-E2.1","shp_60p_red_1950",-5.96826165765824e-18,1.23970383272779e-17
"276","drybc","NorESM2","shp_60p_red_1950",5.3502978980188e-17,7.96335876265382e-17
"277","dryso2","CAM-ATRAS","shp_60p_red_1950",-6.89874018999331e-14,3.14150495046099e-15
"278","dryso2","E3SM","shp_60p_red_1950",-1.0509463296752e-13,4.69443191337965e-15
"279","dryso2","GFDL-ESM4","shp_60p_red_1950",-9.94007796264878e-14,7.51553122245492e-15
"280","dryso2","GISS-E2.1","shp_60p_red_1950",-1.67759132590196e-13,1.93081349017838e-15
"281","dryso2","NorESM2","shp_60p_red_1950",-1.55169928304344e-13,1.19343243014683e-14
"282","dryso4","CAM-ATRAS","shp_60p_red_1950",-2.86344920408508e-14,2.13915433368991e-15
"283","dryso4","E3SM","shp_60p_red_1950",-2.28698752589177e-14,1.01888187641908e-15
