"","variable","model","experiment","value","sd"
"248","wetso2","NorESM2","shp_60p_red",-1.53639701853931e-13,1.32164501104753e-14
"249","wetso4","CAM-ATRAS","shp_60p_red",-7.18463565496149e-13,4.12897294148456e-14
"250","wetso4","CESM1","shp_60p_red",-6.26865433354527e-13,3.21849762095333e-14
"251","wetso4","E3SM","shp_60p_red",-3.85575368940088e-13,2.16048285019364e-14
"252","wetso4","GISS-E2.1","shp_60p_red",-5.6078401109544e-13,2.95534682825457e-14
"253","wetso4","NorESM2","shp_60p_red",-2.63096035497881e-13,2.91416475264081e-14
"254","cl","CAM-ATRAS","shp_60p_red_1950",0.00311488443359433,0.00819263981671899
"255","cl","CESM1","shp_60p_red_1950",0.0208144220259922,0.0142874406442885
"256","cl","GISS-E2.1","shp_60p_red_1950",-0.00728566837292082,0.00650259139893397
"257","clivi","CAM-ATRAS","shp_60p_red_1950",1.16038411520324e-07,6.8728284876216e-06
"258","clivi","E3SM","shp_60p_red_1950",-1.46222050156051e-05,1.86410500260965e-05
"259","clivi","GFDL-ESM4","shp_60p_red_1950",5.00824799326588e-05,0.000163051536310941
"260","clivi","GISS-E2.1","shp_60p_red_1950",7.82978289009972e-05,0.000562717124095868
"261","clivi","NorESM2","shp_60p_red_1950",1.34405549810809e-05,5.25593400917518e-05
"262","clt","CAM-ATRAS","shp_60p_red_1950",0.00517648878073516,0.041198551478411
"263","clt","CESM1","shp_60p_red_1950",0.0939907471062597,0.120430619130764
"264","clt","E3SM","shp_60p_red_1950",-0.0162896397100894,0.0352276229864359
"265","clt","GISS-E2.1","shp_60p_red_1950",-0.0155555971072758,0.0113533767060907
"266","clt","NorESM2","shp_60p_red_1950",0.0287096876226556,0.0845494325580857
"267","cltc","E3SM","shp_60p_red_1950",0,0
"268","cltc","GFDL-ESM4","shp_60p_red_1950",0.000468423421339281,0.00102690810601284
"269","cltc","GISS-E2.1","shp_60p_red_1950",0.00288019452918906,0.0113718022005562
"270","dms","CAM-ATRAS","shp_60p_red_1950",-1.27935620865792e-13,4.69217837427361e-14
"271","dms","GISS-E2.1","shp_60p_red_1950",-8.3203964286263e-15,5.97218423408901e-14
"272","dms","NorESM2","shp_60p_red_1950",5.31986261627791e-14,2.27335570004177e-14
"273","drybc","CAM-ATRAS","shp_60p_red_1950",-5.345420289943e-18,3.02003494030178e-17
"274","drybc","E3SM","shp_60p_red_1950",7.61205902293164e-17,6.92365237636883e-17
"275","drybc","GFDL-ESM4","shp_60p_red_1950",3.25068153281014e-18,1.0176276138238e-16
"276","drybc","GISS-E2.1","shp_60p_red_1950",-7.39658718716205e-18,8.43683913870992e-17
"277","drybc","NorESM2","shp_60p_red_1950",-9.14405410836792e-18,7.8355486232414e-17
"278","dryso2","CAM-ATRAS","shp_60p_red_1950",-1.76895290899547e-13,6.48530129485028e-15
"279","dryso2","E3SM","shp_60p_red_1950",-2.66393853418507e-13,1.03938842013188e-14
"280","dryso2","GFDL-ESM4","shp_60p_red_1950",-2.56661808391286e-13,1.7488815459051e-14
"281","dryso2","GISS-E2.1","shp_60p_red_1950",-3.67611055562869e-13,2.562042207685e-15
"282","dryso2","NorESM2","shp_60p_red_1950",-3.91104463126671e-13,2.84178823669035e-14
"283","dryso4","CAM-ATRAS","shp_60p_red_1950",-6.19877984764598e-14,3.31746129420717e-15
"284","dryso4","E3SM","shp_60p_red_1950",-5.01942751628726e-14,2.12245265202788e-15
"285","dryso4","GISS-E2.1","shp_60p_red_1950",-3.00918282200273e-14,1.8025305607691e-15
"286","dryso4","NorESM2","shp_60p_red_1950",-2.92271901891624e-14,2.36391154838111e-15
"287","emibc","CAM-ATRAS","shp_60p_red_1950",-1.5394279499798e-21,4.04205855462116e-21
"288","emibc","CESM1","shp_60p_red_1950",-7.86391850104849e-21,6.42163043605199e-21
"289","emibc","E3SM","shp_60p_red_1950",-1.90332660526931e-21,6.34298855186951e-21
"290","emibc","GFDL-ESM4","shp_60p_red_1950",1.13218641393898e-20,1.13800832529142e-20
"291","emibc","GISS-E2.1","shp_60p_red_1950",0,0
"292","emibc","NorESM2","shp_60p_red_1950",4.53265592188062e-25,1.54748661459261e-21
"293","emiso2","CAM-ATRAS","shp_60p_red_1950",-5.13138436628679e-13,1.74569271978288e-14
"294","emiso2","E3SM","shp_60p_red_1950",-5.4255707820014e-13,1.84775199597427e-14
"295","emiso2","GFDL-ESM4","shp_60p_red_1950",-5.70973085783819e-13,4.19694532933514e-14
"296","emiso2","GISS-E2.1","shp_60p_red_1950",-4.82337792252491e-13,0
"297","emiso2","NorESM2","shp_60p_red_1950",-5.38891762631306e-13,3.94595798116973e-14
"298","loadbc","CAM-ATRAS","shp_60p_red_1950",-3.39257096490852e-10,1.48195666669665e-10
"299","loadbc","CESM1","shp_60p_red_1950",-5.40317926413555e-11,3.4690887673428e-10
"300","loadbc","E3SM","shp_60p_red_1950",6.95777769598658e-11,2.00807291440458e-10
"301","loadbc","NorESM2","shp_60p_red_1950",6.62401044426913e-11,2.67416341899109e-10
"302","loadso2","CAM-ATRAS","shp_60p_red_1950",-2.78277093320865e-08,6.14568189875565e-10
"303","loadso2","CESM1","shp_60p_red_1950",-4.22261434307815e-08,3.22070843590442e-09
"304","loadso2","E3SM","shp_60p_red_1950",-3.33190140923184e-08,1.1146748362535e-09
"305","loadso2","GISS-E2.1","shp_60p_red_1950",-3.38057427750743e-08,9.18942676775115e-10
"306","loadso2","NorESM2","shp_60p_red_1950",-1.30299452725894e-08,1.09043870124708e-09
"307","loadso4","CAM-ATRAS","shp_60p_red_1950",-7.55661098379806e-08,5.48652670701381e-09
"308","loadso4","CESM1","shp_60p_red_1950",-9.70996934360111e-08,1.33291431679802e-08
"309","loadso4","E3SM","shp_60p_red_1950",-6.68273885727574e-08,2.73499445176445e-09
"310","loadso4","GFDL-ESM4","shp_60p_red_1950",-7.12535371109521e-08,7.58008648558371e-09
"311","loadso4","GISS-E2.1","shp_60p_red_1950",-4.71334865041404e-08,4.66872405744533e-10
"312","loadso4","NorESM2","shp_60p_red_1950",-3.8047954498732e-08,3.62747347533028e-09
